num_qubits,method,gradient_variance,gradient_norm_mean,final_energy_error,state_fidelity,num_parameters
2,Standard VQE,0.02282216478681313,0.4206385157488014,0.2701044832917594,0.9270435681056917,4
2,Local-Global VQE,0.00013451420678287917,0.07043004086482048,0.0007451966910455576,0.9999994446818916,4
2,Adiabatic VQE,0.01553029152994002,0.26330513523805493,0.8771003705806177,0.23069493992734302,4
2,VQE with SEA,0.019862980327881915,0.6488117922860485,0.6096433296684867,0.6283350105907208,6
2,Pretrained VQE,0.005557845265371775,0.3329934422361997,0.03902276772259633,0.9984772235992683,15
3,Standard VQE,0.008956964648112622,0.2730777974507592,0.07102521948099472,0.9949554181976765,6
3,Local-Global VQE,0.0005298594831491656,0.08292162486372714,0.003265001848762758,0.9999893397629276,6
3,Adiabatic VQE,0.004593283583304782,0.20309125161970387,0.9189626893140519,0.15550757564868534,6
3,VQE with SEA,0.019791992706232057,0.5573305641230684,0.46800588975186636,0.7809704871575639,12
3,Pretrained VQE,0.012158800322068968,0.7040538527942669,0.19282948010500023,0.9628167916024353,33
4,Standard VQE,1.5164744863323999e-06,0.004281957029058448,0.9991592343101208,0.0016808244928131488,8
4,Local-Global VQE,0.0009830037639058915,0.12097370767832757,0.007957564039977862,0.9999366771745497,8
4,Adiabatic VQE,0.0023346550585978923,0.13028849066972156,0.9338169746312467,0.12798585789054562,8
4,VQE with SEA,0.014778723382575942,0.5396487462828361,0.640950666752231,0.5891822427898705,12
4,Pretrained VQE,0.006026742988002063,0.5461594151926149,0.7836458117242736,0.3858992417670043,54
5,Standard VQE,0.0033647304234409635,0.2444487761721089,0.8373464311168941,0.29885095429580055,10
5,Local-Global VQE,0.009087066694942856,0.31182304524757054,0.10952827515194262,0.9880035569422404,10
5,Adiabatic VQE,0.0009529600033656327,0.11326471977285663,0.9637417448464707,0.07120184924028017,10
5,VQE with SEA,0.00041804020884119174,0.08707622099495521,0.9595798428592996,0.07920652517812177,20
5,Pretrained VQE,0.003092367310694206,0.4773444017791521,0.8772280111272301,0.23047101649376422,78
6,Standard VQE,0.009988886834146057,0.41466877581022704,0.5907187062595316,0.6510514100750653,12
6,Local-Global VQE,0.015414449729938483,0.4306446308577742,0.3119611721753501,0.9026802270549816,12
6,Adiabatic VQE,0.0022359428890181537,0.17410207469022973,0.9456719599822345,0.10570454410335905,12
6,VQE with SEA,0.002071531451472689,0.21710236838609387,0.9009484033381984,0.18829197452235102,21
6,Pretrained VQE,0.002897805580245212,0.5031092659072256,0.8156141315925596,0.33477358834651494,105
